ISIN,Description,Ccy,Price,Issuer,Industry Sector,Maturity,Coupon,Rating,PD 1YR,Outstanding Amount,Callable,Next Call Date,Seniority,Coupon Frequency,Coupon Type,First Coupon Date,Penultimate Coupon Date,Issue date,Bid Price,Ask Price,Effective Maturity,Años a maturity,Bid-Ask Spread,Precio_modelo_limpio,Cupon_corrido,Precio_modelo_sucio,Diferencia,Spread_implicito_bps,YTM,Modified_Duration,Convexity,Is_HY,Weight
XS2070192591,BSX 0 ⅝ 12/01/27,EUR,96.108,BOSTON SCIENTIFIC CORP,"Consumer, Non-cyclical",2027-12-01,0.625,A-,3.19353e-07,900000000,Y,2027-09-01,Sr Unsecured,1,FIXED,01/12/2020,01/12/2026,12/11/2019,96.043,96.173,2027-09-01,1.9164955509924708,0.12999999999999545,97.54457394768339,0.05136986301369863,97.5959438106971,1.4365739476833852,77.57826433792545,0.046999209222957465,0.9551105590062112,1.8244723598503148,False,0.09999999999999999
XS2390506546,INTNED 0 ⅜ 09/29/28,EUR,95.756,ING GROEP NV,Financial,2028-09-29,0.375,A-,8.33832e-05,1500000000,Y,2027-09-29,Sr Unsecured,1,VARIABLE,29/09/2022,29/06/2028,29/09/2021,95.673,95.838,2027-09-29,1.9931553730321698,0.16499999999999204,96.95840548651744,0.0020547945205479454,96.96046028103798,1.202405486517435,62.683660704081916,0.048237186181544676,0.9539825653798257,1.8201654700973469,False,0.09999999999999995
XS2384715244,DXC 0.45 09/15/27,EUR,95.525,DXC CAPITAL FUNDING LTD,Technology,2027-09-15,0.45,BBB-,0.010140361,750000000,Y,2027-07-15,Sr Unsecured,1,FIXED,15/09/2022,15/09/2026,09/09/2021,95.389,95.662,2027-07-15,1.78507871321013,0.27300000000001035,97.41525663865548,0.09616438356164385,97.51142102221712,1.8902566386554724,109.86694824276584,0.05155718398325037,0.9509706321553013,1.808690286443707,False,0.09999999999999991
XS2049582625,PLD 0 ¼ 09/10/27,EUR,95.591,PROLOGIS EURO FINANCE,Financial,2027-09-10,0.25,A,0.010005575,600000000,Y,2027-06-10,Sr Unsecured,1,FIXED,10/09/2020,10/09/2026,10/09/2019,95.518,95.663,2027-06-10,1.6892539356605065,0.14499999999999602,97.23019447235208,0.0773972602739726,97.30759173262605,1.639194472352088,100.65387250712573,0.04873889801341133,0.9535261845386533,1.818424369201684,False,0.0999999999999999
XS2356041165,STLA 1 ¼ 06/20/33,EUR,79.66218,STELLANTIS NV,"Consumer, Cyclical",2033-06-20,1.25,BBB,0.024239666,1250000000,Y,2033-03-20,Sr Unsecured,1,FIXED,20/06/2022,20/06/2032,18/06/2021,79.392,79.932,2033-03-20,7.4661190965092405,0.5400000000000063,91.85112190888341,0.6678082191780822,92.5189301280615,12.188941908883407,199.13425259800275,0.047305321726133095,6.405020353531105,48.24261337781182,False,0.09999999999999987
XS2389757944,ANZNZ 0.2 09/23/27,EUR,95.73,ANZ NEW ZEALAND INTL/LDN,Financial,2027-09-23,0.2,A+,,750000000,N,,Sr Unsecured,1,FIXED,23/09/2022,23/09/2026,23/09/2021,95.656,95.803,2027-09-23,1.9767282683093772,0.14699999999999136,96.64772574696853,0.004383561643835617,96.65210930861237,0.9177257469685287,48.28080889468596,0.04669382638671264,0.9553892215568861,1.8255371293341458,False,0.09480460697202835
DE000A3MP4W5,ANNGR 1 ⅝ 09/01/51,EUR,55.033,VONOVIA SE,Financial,2051-09-01,1.625,BBB+,0.001036135,750000000,Y,2051-06-01,Sr Unsecured,1,FIXED,01/09/2022,01/09/2050,01/09/2021,54.741,55.324,2051-06-01,25.66461327857632,0.5829999999999984,77.4790744187685,0.5431506849315069,78.02222510370001,22.446074418768504,173.28183801063741,0.04729606690758549,18.010510080365354,406.5259205975989,False,0.08738395808072486
XS2076155105,ABT 0 ⅜ 11/19/27,EUR,95.918,ABBOTT IRELAND FINANCING,"Consumer, Non-cyclical",2027-11-19,0.375,AA-,2.10045e-08,590000000,Y,2027-08-19,Sr Unsecured,1,FIXED,19/11/2020,19/11/2026,19/11/2019,95.827,96.01,2027-08-19,1.8809034907597535,0.18300000000000693,97.13434744867001,0.04417808219178082,97.17852553086179,1.2163474486700068,67.05559986403196,0.04646677370253753,0.9555965130759653,1.8263293916058865,False,0.07757712410388583
XS2170362672,NESNVX 0 ⅛ 11/12/27,EUR,95.681,NESTLE FINANCE INTL LTD,"Consumer, Non-cyclical",2027-11-12,0.125,AA-,0.016977096,850000000,Y,2027-08-12,Sr Unsecured,1,FIXED,12/11/2020,12/11/2026,12/05/2020,95.577,95.784,2027-08-12,1.8617385352498288,0.20700000000000784,96.7115548649468,0.017123287671232876,96.72867815261804,1.030554864946808,57.53351848694594,0.04644600286368244,0.9556154806491886,1.8264018937127595,False,0.07600115490291486
FR0013463668,EFFP 0 ⅜ 11/27/27,EUR,95.925,ESSILORLUXOTTICA,"Consumer, Non-cyclical",2027-11-27,0.375,A,4.39364e-06,1500000000,Y,2027-08-27,Sr Unsecured,1,FIXED,27/11/2020,27/11/2026,27/11/2019,95.842,96.008,2027-08-27,1.9028062970568105,0.16599999999999682,97.09997953642691,0.03595890410958904,97.1359384405365,1.1749795364269175,64.04239080277426,0.04639040917383368,0.9556662515566626,1.8265959687287248,False,0.07178300466614969
