ISIN,Description,Ccy,Price,Issuer,Industry Sector,Maturity,Coupon,Rating,PD 1YR,Outstanding Amount,Callable,Next Call Date,Seniority,Coupon Frequency,Coupon Type,First Coupon Date,Penultimate Coupon Date,Issue date,Bid Price,Ask Price,Años a maturity,Bid-Ask Spread,Precio_modelo_limpio,Cupon_corrido,Precio_modelo_sucio,Diferencia,Spread_implicito_bps,YTM,Modified_Duration,Convexity
XS0161488498,DT 7 ½ 01/24/33,EUR,127.8353,DEUTSCHE TELEKOM INT FIN,Communications,2033-01-24,7.5,BBB+,0.021966191,500000000,N,,Sr Unsecured,1,FIXED,24/01/2004,24/01/2032,24/01/2003,127.462,128.208,7.315537303216975,0.7459999999999951,133.74165822053547,5.136986301369863,138.87864452190533,5.906358220535466,74.18031812830894,0.03027607751590865,5.688795454951043,41.381796831815016
FR0000471930,ORAFP 8 ⅛ 01/28/33,EUR,131.3195,ORANGE SA,Communications,2033-01-28,8.125,BBB+,2.14239e-05,1500000000,N,,Sr Unsecured,1,FIXED,28/01/2004,28/01/2032,28/01/2003,130.991,131.648,7.326488706365503,0.6569999999999823,137.95450164181105,5.476027397260274,143.43052903907133,6.635001641811044,81.70655982088705,0.030823987382394284,5.62706450857264,40.73535574048628
XS0162513211,EOANGR 5 ¾ 02/14/33,EUR,115.78,E.ON INTL FINANCE BV,Utilities,2033-02-14,5.75,BBB+,0.00010082,600000000,N,,Sr Unsecured,1,FIXED,14/02/2004,14/02/2032,14/02/2003,115.447,116.114,7.3730321697467485,0.6670000000000016,122.20211341602771,3.607534246575342,125.80964766260306,6.422113416027713,85.3516378028645,0.03198251797443124,5.852819535824713,43.02988482981816
XS0162869076,TELEFO 5 ⅞ 02/14/33,EUR,116.3,TELEFONICA EUROPE BV,Communications,2033-02-14,5.875,BBB-,0.000124958,500000000,N,,Sr Unsecured,1,FIXED,14/02/2004,14/02/2032,14/02/2003,115.984,116.616,7.3730321697467485,0.632000000000005,123.04142966600737,3.685958904109589,126.72738857011696,6.741429666007377,89.31778495855794,0.03235478846303609,5.835627466896061,42.844750019307746
FR0010014845,PEUGOT 6 09/19/33,EUR,112.3887,PSA TRESORERIE GIE,"Consumer, Cyclical",2033-09-19,6.0,BBB,0.024239666,600000000,N,,Sr Unsecured,1,FIXED,19/09/2004,19/09/2032,19/09/2003,111.839,112.938,7.967145790554415,1.0990000000000038,125.34636908443089,0.1972602739726027,125.54362935840349,12.95766908443089,163.20301567764633,0.039404625426587396,5.760046217751495,41.912227654030424
FR0010033381,VIEFP 6 ⅛ 11/25/33,EUR,119.702,VEOLIA ENVIRONNEMENT SA,Utilities,2033-11-25,6.125,BBB,0.000200524,700000000,N,,Sr Unsecured,1,FIXED,25/11/2004,25/11/2032,25/11/2003,119.299,120.105,8.150581793292266,0.8059999999999974,126.6890033338962,5.2020547945205475,131.89105812841674,6.987003333896197,83.21829412867565,0.03284536516349748,6.484653129487037,52.95980935586507
XS0229567440,GE 4 ⅛ 09/19/35,EUR,105.4562,GENERAL ELECTRIC CO,Industrial,2035-09-19,4.125,A-,5.11829e-06,750000000,N,,Sr Unsecured,1,FIXED,19/09/2006,19/09/2034,19/09/2005,105.115,105.798,9.96577686516085,0.6830000000000069,113.84694251276244,0.13561643835616438,113.9825589511186,8.390742512762444,90.66915643213223,0.03410751863320692,7.482836257338152,68.57768143808833
XS0300113254,PG 4 ⅞ 05/11/27,EUR,104.097,PROCTER & GAMBLE CO/THE,"Consumer, Non-cyclical",2027-05-11,4.875,AA-,1.47446e-07,1000000000,N,,Sr Unsecured,1,FIXED,11/05/2008,11/05/2026,11/05/2007,104.013,104.18,1.6071184120465434,0.1670000000000016,104.61409998099705,1.909931506849315,106.52403148784637,0.5170999809970596,31.134806009432243,0.007473798476421087,0.9925816448152562,1.9704366432483187
XS0350890470,GE 6.025 03/01/38,EUR,124.77,GE CAPITAL EURO FUNDING,Industrial,2038-03-01,6.025,A-,5.11829e-06,484697000,N,,Sr Unsecured,1,FIXED,01/03/2009,01/03/2037,06/03/2008,124.175,125.364,12.413415468856947,1.1890000000000072,135.4426807034795,3.532465753424658,138.97514645690416,10.672680703479514,86.28217563867038,0.03466720453499366,8.92958192019147,101.63731536014313
XS0553728709,DT 4 ½ 10/28/30,EUR,108.6433,DEUTSCHE TELEKOM INT FIN,Communications,2030-10-28,4.5,BBB+,0.021966191,300000000,N,,Sr Unsecured,1,FIXED,28/10/2011,28/10/2029,28/10/2010,108.379,108.908,5.073237508555784,0.5289999999999964,110.55903972963051,4.167123287671233,114.72616301730174,1.9157397296305163,37.41382006786243,0.02632457120031984,4.488486361593043,25.50291162297994
FR0011224963,VIEFP 4 ⅝ 03/30/27,EUR,103.19,VEOLIA ENVIRONNEMENT SA,Utilities,2027-03-30,4.625,BBB,0.000200524,750000000,N,,Sr Unsecured,1,FIXED,30/03/2013,30/03/2026,30/03/2012,103.088,103.292,1.4921286789869952,0.20400000000000773,103.93251976888479,2.344178082191781,106.27669785107656,0.7425197688847902,48.354811155177075,0.013906386277739958,0.9862843488649942,1.9455136336320913
XS0826189028,TELIAS 3 09/07/27,EUR,101.318,TELIA COMPANY AB,Communications,2027-09-07,3.0,BBB+,1.15493e-05,370083000,N,,Sr Unsecured,1,FIXED,07/09/2013,07/09/2026,07/09/2012,101.149,101.486,1.9329226557152634,0.3370000000000033,101.98796473292445,0.1972602739726027,102.18522500689706,0.6699647329244556,34.523508052917364,0.016601196233640616,0.9836699029126215,1.9352129557922524
XS0866310088,T 3.55 12/17/32,EUR,101.026,AT&T INC,Communications,2032-12-17,3.55,BBB,0.000147481,1400000000,Y,2032-09-17,Sr Unsecured,1,FIXED,17/12/2013,17/12/2031,17/12/2012,100.784,101.269,6.962354551676934,0.48499999999999943,107.25237179245104,0.13616438356164384,107.38853617601269,6.226371792451047,94.84816651758442,0.03358347387078601,5.332511925450118,35.071172593729656
XS0875797515,DT 3 ¼ 01/17/28,EUR,102.225,DEUTSCHE TELEKOM INT FIN,Communications,2028-01-17,3.25,BBB+,0.021966191,750000000,N,,Sr Unsecured,1,FIXED,17/01/2014,17/01/2027,17/01/2013,102.041,102.409,2.294318959616701,0.3680000000000092,102.82608633851297,2.2883561643835617,105.11444250289652,0.601086338512971,26.019378706842524,0.02102296287836614,1.9283229371880042,5.635986803425035
